"","ID","R","Python","SQL","Tableau","PowerBI","Azure","Excel","Talend","SAS","Spark"
"28","9ae033f4468126365eca42ecd7f2fde2",0,0,1,0,0,0,1,0,1,0
"29","9b4187788c0c6046d572f8d57ae9c966",0,0,0,0,0,1,0,0,0,0
"30","f9b92fd50edf30aa8d9db8cb1a95eb82",0,0,0,0,0,0,0,0,0,0
"31","756404c9d0a869e6963673ff4e7d784e",1,1,0,0,0,1,0,0,0,0
"32","2e0ebe54c293e11ef344a4cad67827e1",1,0,0,0,0,0,0,0,0,0
"33","7158ae38974137089c23759cd4c79512",1,1,0,0,0,0,1,0,0,0
"34","2b071a8fb7336291ea6e5da02fbf2464",0,1,0,0,0,0,1,0,0,0
"35","f27c5c2ffa00a7395727ca36c224354e",0,0,0,0,0,0,0,0,0,0
"36","c004228de00f70126d088fd686e9c9fa",0,0,0,0,0,0,0,0,0,0
"37","249f358a00081592888d94851ad0a63d",0,0,0,0,0,0,0,0,0,0
"38","8b0679c9ca7bad226f7efb38f5b0bb9c",1,0,0,0,0,0,1,0,0,0
"39","f7960a55df9d9ff9aca21536e196114e",0,0,0,0,0,0,0,0,0,0
"40","bd5595842b6f3b3e8aa481ddd17189e0",0,0,1,0,0,1,1,0,0,0
"41","3d1810bc3d37eba0b65f2b5281ade116",0,0,0,0,0,0,0,0,0,0
"42","b8d54dd7b133ce8137870696c2dfbc97",0,1,1,1,1,0,1,0,0,0
"43","3e5881b73271749d0423be4292da6a12",0,1,1,1,1,0,1,0,0,0
"44","e5c7a1bb6d6b6725a2f90c38e17656ff",0,0,0,0,0,0,1,0,0,0
"45","d69f797d227f987b49a0fe559af7bf03",0,0,0,0,0,0,0,0,0,0
"46","632d4e2aca10224713792e624c08ba1e",1,0,0,0,0,0,0,0,0,0
"47","23725140d8e511e72cb94785ad60a0a9",1,0,1,0,0,1,0,0,0,0
"48","6cef56e966d79e7a6d80781bc2a5c6c1",0,1,1,0,0,0,0,0,0,0
"49","f77a91f1454a71a89d17ec0a0754f7ec",0,0,0,0,0,0,1,0,0,0
"50","6833062421f4a1fac5cda96be8324ed8",0,1,1,0,0,0,0,0,0,0
"51","2c34dbef611d4cff847ef37612a74f6f",0,1,1,0,0,1,0,0,0,0
"52","848e0075d2e1ed432118e192cdce657f",0,1,0,0,0,0,0,0,0,0
"53","128eb3dd5b27fb240aea6460488f028b",1,0,0,0,0,0,1,0,0,0
"54","540bb436ac6d554793b659b353d6cf41",0,0,0,0,0,1,1,0,0,0
"55","a82b99723148c2a3b62718c66eaa0b9e",0,0,1,0,0,0,1,0,0,0
"56","eaf8f52825816509a3700f5671efbcc9",0,0,0,0,0,0,1,0,0,0
"57","67fd3a14553dbb02119a8336517160a8",1,1,1,0,0,0,0,0,0,0
"58","9b7f992816c2f23f54cf593e240c1b56",1,1,1,0,0,0,0,0,0,0
"59","84f28ca9636fbd61b6a575c841bcf3d1",1,0,0,0,0,0,1,0,0,0
